wort,kategorie,genus,artikel,plural,englisch,basisform,praeteritum,partizip_ii,hinweis
PapierWand,Substantiv,f,die,PapierWände,,,,,Zusammensetzung aus 'Papier' + 'Wand'
PapierFenster,Substantiv,n,das,PapierFenster,,,,,Zusammensetzung aus 'Papier' + 'Fenster'
PapierBoden,Substantiv,m,der,PapierBöden,,,,,Zusammensetzung aus 'Papier' + 'Boden'
PapierPlan,Substantiv,m,der,PapierPläne,,,,,Zusammensetzung aus 'Papier' + 'Plan'
PapierListe,Substantiv,f,die,PapierListen,,,,,Zusammensetzung aus 'Papier' + 'Liste'
PapierBuch,Substantiv,n,das,PapierBücher,,,,,Zusammensetzung aus 'Papier' + 'Buch'
PapierSeite,Substantiv,f,die,PapierSeiten,,,,,Zusammensetzung aus 'Papier' + 'Seite'
PapierNummer,Substantiv,f,die,PapierNummern,,,,,Zusammensetzung aus 'Papier' + 'Nummer'
PapierFehler,Substantiv,m,der,PapierFehler,,,,,Zusammensetzung aus 'Papier' + 'Fehler'
PapierServer,Substantiv,m,der,PapierServer,,,,,Zusammensetzung aus 'Papier' + 'Server'
PapierClient,Substantiv,m,der,PapierClients,,,,,Zusammensetzung aus 'Papier' + 'Client'
PapierVertrag,Substantiv,m,der,PapierVerträge,,,,,Zusammensetzung aus 'Papier' + 'Vertrag'
PapierGesetz,Substantiv,n,das,PapierGesetze,,,,,Zusammensetzung aus 'Papier' + 'Gesetz'
PapierPrüfung,Substantiv,f,die,PapierPrüfungen,,,,,Zusammensetzung aus 'Papier' + 'Prüfung'
PapierReise,Substantiv,f,die,PapierReisen,,,,,Zusammensetzung aus 'Papier' + 'Reise'
PapierHafen,Substantiv,m,der,PapierHäfen,,,,,Zusammensetzung aus 'Papier' + 'Hafen'
PapierBahnhof,Substantiv,m,der,PapierBahnhöfe,,,,,Zusammensetzung aus 'Papier' + 'Bahnhof'
PapierFlughafen,Substantiv,m,der,PapierFlughäfen,,,,,Zusammensetzung aus 'Papier' + 'Flughafen'
PapierKarte,Substantiv,f,die,PapierKarten,,,,,Zusammensetzung aus 'Papier' + 'Karte'
PapierPreis,Substantiv,m,der,PapierPreise,,,,,Zusammensetzung aus 'Papier' + 'Preis'
PapierPark,Substantiv,m,der,PapierParks,,,,,Zusammensetzung aus 'Papier' + 'Park'
PapierPlatz,Substantiv,m,der,PapierPlätze,,,,,Zusammensetzung aus 'Papier' + 'Platz'
PapierStraße,Substantiv,f,die,PapierStraßen,,,,,Zusammensetzung aus 'Papier' + 'Straße'
PapierBrücke,Substantiv,f,die,PapierBrücken,,,,,Zusammensetzung aus 'Papier' + 'Brücke'
PapierTunnel,Substantiv,m,der,PapierTunnel,,,,,Zusammensetzung aus 'Papier' + 'Tunnel'
PapierZentrum,Substantiv,n,das,PapierZentren,,,,,Zusammensetzung aus 'Papier' + 'Zentrum'
PapierHaus,Substantiv,n,das,PapierHäuser,,,,,Zusammensetzung aus 'Papier' + 'Haus'
PapierWerk,Substantiv,n,das,PapierWerke,,,,,Zusammensetzung aus 'Papier' + 'Werk'
PapierTicket,Substantiv,n,das,PapierTickets,,,,,Zusammensetzung aus 'Papier' + 'Ticket'
PapierStation,Substantiv,f,die,PapierStationen,,,,,Zusammensetzung aus 'Papier' + 'Station'
PapierLeitung,Substantiv,f,die,PapierLeitungen,,,,,Zusammensetzung aus 'Papier' + 'Leitung'
PapierLeiter,Substantiv,m,der,PapierLeiter,,,,,Zusammensetzung aus 'Papier' + 'Leiter'
PapierLeuchte,Substantiv,f,die,PapierLeuchten,,,,,Zusammensetzung aus 'Papier' + 'Leuchte'
PapierSchalter,Substantiv,m,der,PapierSchalter,,,,,Zusammensetzung aus 'Papier' + 'Schalter'
PapierSensor,Substantiv,m,der,PapierSensoren,,,,,Zusammensetzung aus 'Papier' + 'Sensor'
PapierAktuator,Substantiv,m,der,PapierAktuatoren,,,,,Zusammensetzung aus 'Papier' + 'Aktuator'
ComputerTür,Substantiv,f,die,ComputerTüren,,,,,Zusammensetzung aus 'Computer' + 'Tür'
ComputerDach,Substantiv,n,das,ComputerDächer,,,,,Zusammensetzung aus 'Computer' + 'Dach'
ComputerWand,Substantiv,f,die,ComputerWände,,,,,Zusammensetzung aus 'Computer' + 'Wand'
ComputerFenster,Substantiv,n,das,ComputerFenster,,,,,Zusammensetzung aus 'Computer' + 'Fenster'
ComputerBoden,Substantiv,m,der,ComputerBöden,,,,,Zusammensetzung aus 'Computer' + 'Boden'
ComputerPlan,Substantiv,m,der,ComputerPläne,,,,,Zusammensetzung aus 'Computer' + 'Plan'
ComputerListe,Substantiv,f,die,ComputerListen,,,,,Zusammensetzung aus 'Computer' + 'Liste'
ComputerBuch,Substantiv,n,das,ComputerBücher,,,,,Zusammensetzung aus 'Computer' + 'Buch'
ComputerSeite,Substantiv,f,die,ComputerSeiten,,,,,Zusammensetzung aus 'Computer' + 'Seite'
ComputerNummer,Substantiv,f,die,ComputerNummern,,,,,Zusammensetzung aus 'Computer' + 'Nummer'
ComputerFehler,Substantiv,m,der,ComputerFehler,,,,,Zusammensetzung aus 'Computer' + 'Fehler'
ComputerServer,Substantiv,m,der,ComputerServer,,,,,Zusammensetzung aus 'Computer' + 'Server'
ComputerClient,Substantiv,m,der,ComputerClients,,,,,Zusammensetzung aus 'Computer' + 'Client'
ComputerVertrag,Substantiv,m,der,ComputerVerträge,,,,,Zusammensetzung aus 'Computer' + 'Vertrag'
ComputerGesetz,Substantiv,n,das,ComputerGesetze,,,,,Zusammensetzung aus 'Computer' + 'Gesetz'
ComputerPrüfung,Substantiv,f,die,ComputerPrüfungen,,,,,Zusammensetzung aus 'Computer' + 'Prüfung'
ComputerReise,Substantiv,f,die,ComputerReisen,,,,,Zusammensetzung aus 'Computer' + 'Reise'
ComputerHafen,Substantiv,m,der,ComputerHäfen,,,,,Zusammensetzung aus 'Computer' + 'Hafen'
ComputerBahnhof,Substantiv,m,der,ComputerBahnhöfe,,,,,Zusammensetzung aus 'Computer' + 'Bahnhof'
ComputerFlughafen,Substantiv,m,der,ComputerFlughäfen,,,,,Zusammensetzung aus 'Computer' + 'Flughafen'
ComputerKarte,Substantiv,f,die,ComputerKarten,,,,,Zusammensetzung aus 'Computer' + 'Karte'
ComputerPreis,Substantiv,m,der,ComputerPreise,,,,,Zusammensetzung aus 'Computer' + 'Preis'
ComputerPark,Substantiv,m,der,ComputerParks,,,,,Zusammensetzung aus 'Computer' + 'Park'
ComputerPlatz,Substantiv,m,der,ComputerPlätze,,,,,Zusammensetzung aus 'Computer' + 'Platz'
ComputerStraße,Substantiv,f,die,ComputerStraßen,,,,,Zusammensetzung aus 'Computer' + 'Straße'
ComputerBrücke,Substantiv,f,die,ComputerBrücken,,,,,Zusammensetzung aus 'Computer' + 'Brücke'
ComputerTunnel,Substantiv,m,der,ComputerTunnel,,,,,Zusammensetzung aus 'Computer' + 'Tunnel'
ComputerZentrum,Substantiv,n,das,ComputerZentren,,,,,Zusammensetzung aus 'Computer' + 'Zentrum'
ComputerHaus,Substantiv,n,das,ComputerHäuser,,,,,Zusammensetzung aus 'Computer' + 'Haus'
ComputerWerk,Substantiv,n,das,ComputerWerke,,,,,Zusammensetzung aus 'Computer' + 'Werk'
ComputerTicket,Substantiv,n,das,ComputerTickets,,,,,Zusammensetzung aus 'Computer' + 'Ticket'
ComputerStation,Substantiv,f,die,ComputerStationen,,,,,Zusammensetzung aus 'Computer' + 'Station'
ComputerLeitung,Substantiv,f,die,ComputerLeitungen,,,,,Zusammensetzung aus 'Computer' + 'Leitung'
ComputerLeiter,Substantiv,m,der,ComputerLeiter,,,,,Zusammensetzung aus 'Computer' + 'Leiter'
ComputerLeuchte,Substantiv,f,die,ComputerLeuchten,,,,,Zusammensetzung aus 'Computer' + 'Leuchte'
ComputerSchalter,Substantiv,m,der,ComputerSchalter,,,,,Zusammensetzung aus 'Computer' + 'Schalter'
ComputerSensor,Substantiv,m,der,ComputerSensoren,,,,,Zusammensetzung aus 'Computer' + 'Sensor'
ComputerAktuator,Substantiv,m,der,ComputerAktuatoren,,,,,Zusammensetzung aus 'Computer' + 'Aktuator'
NetzTür,Substantiv,f,die,NetzTüren,,,,,Zusammensetzung aus 'Netz' + 'Tür'
NetzDach,Substantiv,n,das,NetzDächer,,,,,Zusammensetzung aus 'Netz' + 'Dach'
NetzWand,Substantiv,f,die,NetzWände,,,,,Zusammensetzung aus 'Netz' + 'Wand'
NetzFenster,Substantiv,n,das,NetzFenster,,,,,Zusammensetzung aus 'Netz' + 'Fenster'
NetzBoden,Substantiv,m,der,NetzBöden,,,,,Zusammensetzung aus 'Netz' + 'Boden'
NetzPlan,Substantiv,m,der,NetzPläne,,,,,Zusammensetzung aus 'Netz' + 'Plan'
NetzListe,Substantiv,f,die,NetzListen,,,,,Zusammensetzung aus 'Netz' + 'Liste'
NetzBuch,Substantiv,n,das,NetzBücher,,,,,Zusammensetzung aus 'Netz' + 'Buch'
NetzSeite,Substantiv,f,die,NetzSeiten,,,,,Zusammensetzung aus 'Netz' + 'Seite'
NetzNummer,Substantiv,f,die,NetzNummern,,,,,Zusammensetzung aus 'Netz' + 'Nummer'
NetzFehler,Substantiv,m,der,NetzFehler,,,,,Zusammensetzung aus 'Netz' + 'Fehler'
NetzServer,Substantiv,m,der,NetzServer,,,,,Zusammensetzung aus 'Netz' + 'Server'
NetzClient,Substantiv,m,der,NetzClients,,,,,Zusammensetzung aus 'Netz' + 'Client'
NetzVertrag,Substantiv,m,der,NetzVerträge,,,,,Zusammensetzung aus 'Netz' + 'Vertrag'
NetzGesetz,Substantiv,n,das,NetzGesetze,,,,,Zusammensetzung aus 'Netz' + 'Gesetz'
NetzPrüfung,Substantiv,f,die,NetzPrüfungen,,,,,Zusammensetzung aus 'Netz' + 'Prüfung'
NetzReise,Substantiv,f,die,NetzReisen,,,,,Zusammensetzung aus 'Netz' + 'Reise'
NetzHafen,Substantiv,m,der,NetzHäfen,,,,,Zusammensetzung aus 'Netz' + 'Hafen'
NetzBahnhof,Substantiv,m,der,NetzBahnhöfe,,,,,Zusammensetzung aus 'Netz' + 'Bahnhof'
NetzFlughafen,Substantiv,m,der,NetzFlughäfen,,,,,Zusammensetzung aus 'Netz' + 'Flughafen'
NetzKarte,Substantiv,f,die,NetzKarten,,,,,Zusammensetzung aus 'Netz' + 'Karte'
NetzPreis,Substantiv,m,der,NetzPreise,,,,,Zusammensetzung aus 'Netz' + 'Preis'
NetzPark,Substantiv,m,der,NetzParks,,,,,Zusammensetzung aus 'Netz' + 'Park'
NetzPlatz,Substantiv,m,der,NetzPlätze,,,,,Zusammensetzung aus 'Netz' + 'Platz'
NetzStraße,Substantiv,f,die,NetzStraßen,,,,,Zusammensetzung aus 'Netz' + 'Straße'
NetzBrücke,Substantiv,f,die,NetzBrücken,,,,,Zusammensetzung aus 'Netz' + 'Brücke'
NetzTunnel,Substantiv,m,der,NetzTunnel,,,,,Zusammensetzung aus 'Netz' + 'Tunnel'
NetzZentrum,Substantiv,n,das,NetzZentren,,,,,Zusammensetzung aus 'Netz' + 'Zentrum'
NetzHaus,Substantiv,n,das,NetzHäuser,,,,,Zusammensetzung aus 'Netz' + 'Haus'
NetzWerk,Substantiv,n,das,NetzWerke,,,,,Zusammensetzung aus 'Netz' + 'Werk'
NetzTicket,Substantiv,n,das,NetzTickets,,,,,Zusammensetzung aus 'Netz' + 'Ticket'
NetzStation,Substantiv,f,die,NetzStationen,,,,,Zusammensetzung aus 'Netz' + 'Station'
NetzLeitung,Substantiv,f,die,NetzLeitungen,,,,,Zusammensetzung aus 'Netz' + 'Leitung'
NetzLeiter,Substantiv,m,der,NetzLeiter,,,,,Zusammensetzung aus 'Netz' + 'Leiter'
NetzLeuchte,Substantiv,f,die,NetzLeuchten,,,,,Zusammensetzung aus 'Netz' + 'Leuchte'
NetzSchalter,Substantiv,m,der,NetzSchalter,,,,,Zusammensetzung aus 'Netz' + 'Schalter'
NetzSensor,Substantiv,m,der,NetzSensoren,,,,,Zusammensetzung aus 'Netz' + 'Sensor'
NetzAktuator,Substantiv,m,der,NetzAktuatoren,,,,,Zusammensetzung aus 'Netz' + 'Aktuator'
DatenTür,Substantiv,f,die,DatenTüren,,,,,Zusammensetzung aus 'Daten' + 'Tür'
DatenDach,Substantiv,n,das,DatenDächer,,,,,Zusammensetzung aus 'Daten' + 'Dach'
DatenWand,Substantiv,f,die,DatenWände,,,,,Zusammensetzung aus 'Daten' + 'Wand'
DatenFenster,Substantiv,n,das,DatenFenster,,,,,Zusammensetzung aus 'Daten' + 'Fenster'
DatenBoden,Substantiv,m,der,DatenBöden,,,,,Zusammensetzung aus 'Daten' + 'Boden'
DatenPlan,Substantiv,m,der,DatenPläne,,,,,Zusammensetzung aus 'Daten' + 'Plan'
DatenListe,Substantiv,f,die,DatenListen,,,,,Zusammensetzung aus 'Daten' + 'Liste'
DatenBuch,Substantiv,n,das,DatenBücher,,,,,Zusammensetzung aus 'Daten' + 'Buch'
DatenSeite,Substantiv,f,die,DatenSeiten,,,,,Zusammensetzung aus 'Daten' + 'Seite'
DatenNummer,Substantiv,f,die,DatenNummern,,,,,Zusammensetzung aus 'Daten' + 'Nummer'
DatenFehler,Substantiv,m,der,DatenFehler,,,,,Zusammensetzung aus 'Daten' + 'Fehler'
DatenServer,Substantiv,m,der,DatenServer,,,,,Zusammensetzung aus 'Daten' + 'Server'
DatenClient,Substantiv,m,der,DatenClients,,,,,Zusammensetzung aus 'Daten' + 'Client'
DatenVertrag,Substantiv,m,der,DatenVerträge,,,,,Zusammensetzung aus 'Daten' + 'Vertrag'
DatenGesetz,Substantiv,n,das,DatenGesetze,,,,,Zusammensetzung aus 'Daten' + 'Gesetz'
DatenPrüfung,Substantiv,f,die,DatenPrüfungen,,,,,Zusammensetzung aus 'Daten' + 'Prüfung'
DatenReise,Substantiv,f,die,DatenReisen,,,,,Zusammensetzung aus 'Daten' + 'Reise'
DatenHafen,Substantiv,m,der,DatenHäfen,,,,,Zusammensetzung aus 'Daten' + 'Hafen'
DatenBahnhof,Substantiv,m,der,DatenBahnhöfe,,,,,Zusammensetzung aus 'Daten' + 'Bahnhof'
DatenFlughafen,Substantiv,m,der,DatenFlughäfen,,,,,Zusammensetzung aus 'Daten' + 'Flughafen'
DatenKarte,Substantiv,f,die,DatenKarten,,,,,Zusammensetzung aus 'Daten' + 'Karte'
DatenPreis,Substantiv,m,der,DatenPreise,,,,,Zusammensetzung aus 'Daten' + 'Preis'
DatenPark,Substantiv,m,der,DatenParks,,,,,Zusammensetzung aus 'Daten' + 'Park'
DatenPlatz,Substantiv,m,der,DatenPlätze,,,,,Zusammensetzung aus 'Daten' + 'Platz'
DatenStraße,Substantiv,f,die,DatenStraßen,,,,,Zusammensetzung aus 'Daten' + 'Straße'
DatenBrücke,Substantiv,f,die,DatenBrücken,,,,,Zusammensetzung aus 'Daten' + 'Brücke'
DatenTunnel,Substantiv,m,der,DatenTunnel,,,,,Zusammensetzung aus 'Daten' + 'Tunnel'
DatenZentrum,Substantiv,n,das,DatenZentren,,,,,Zusammensetzung aus 'Daten' + 'Zentrum'
DatenHaus,Substantiv,n,das,DatenHäuser,,,,,Zusammensetzung aus 'Daten' + 'Haus'
DatenWerk,Substantiv,n,das,DatenWerke,,,,,Zusammensetzung aus 'Daten' + 'Werk'
DatenTicket,Substantiv,n,das,DatenTickets,,,,,Zusammensetzung aus 'Daten' + 'Ticket'
DatenStation,Substantiv,f,die,DatenStationen,,,,,Zusammensetzung aus 'Daten' + 'Station'
DatenLeitung,Substantiv,f,die,DatenLeitungen,,,,,Zusammensetzung aus 'Daten' + 'Leitung'
DatenLeiter,Substantiv,m,der,DatenLeiter,,,,,Zusammensetzung aus 'Daten' + 'Leiter'
DatenLeuchte,Substantiv,f,die,DatenLeuchten,,,,,Zusammensetzung aus 'Daten' + 'Leuchte'
DatenSchalter,Substantiv,m,der,DatenSchalter,,,,,Zusammensetzung aus 'Daten' + 'Schalter'
DatenSensor,Substantiv,m,der,DatenSensoren,,,,,Zusammensetzung aus 'Daten' + 'Sensor'
DatenAktuator,Substantiv,m,der,DatenAktuatoren,,,,,Zusammensetzung aus 'Daten' + 'Aktuator'
ZeitTür,Substantiv,f,die,ZeitTüren,,,,,Zusammensetzung aus 'Zeit' + 'Tür'
ZeitDach,Substantiv,n,das,ZeitDächer,,,,,Zusammensetzung aus 'Zeit' + 'Dach'
ZeitWand,Substantiv,f,die,ZeitWände,,,,,Zusammensetzung aus 'Zeit' + 'Wand'
ZeitFenster,Substantiv,n,das,ZeitFenster,,,,,Zusammensetzung aus 'Zeit' + 'Fenster'
ZeitBoden,Substantiv,m,der,ZeitBöden,,,,,Zusammensetzung aus 'Zeit' + 'Boden'
ZeitPlan,Substantiv,m,der,ZeitPläne,,,,,Zusammensetzung aus 'Zeit' + 'Plan'
ZeitListe,Substantiv,f,die,ZeitListen,,,,,Zusammensetzung aus 'Zeit' + 'Liste'
ZeitBuch,Substantiv,n,das,ZeitBücher,,,,,Zusammensetzung aus 'Zeit' + 'Buch'
ZeitSeite,Substantiv,f,die,ZeitSeiten,,,,,Zusammensetzung aus 'Zeit' + 'Seite'
ZeitNummer,Substantiv,f,die,ZeitNummern,,,,,Zusammensetzung aus 'Zeit' + 'Nummer'
ZeitFehler,Substantiv,m,der,ZeitFehler,,,,,Zusammensetzung aus 'Zeit' + 'Fehler'
ZeitServer,Substantiv,m,der,ZeitServer,,,,,Zusammensetzung aus 'Zeit' + 'Server'
ZeitClient,Substantiv,m,der,ZeitClients,,,,,Zusammensetzung aus 'Zeit' + 'Client'
ZeitVertrag,Substantiv,m,der,ZeitVerträge,,,,,Zusammensetzung aus 'Zeit' + 'Vertrag'
ZeitGesetz,Substantiv,n,das,ZeitGesetze,,,,,Zusammensetzung aus 'Zeit' + 'Gesetz'
ZeitPrüfung,Substantiv,f,die,ZeitPrüfungen,,,,,Zusammensetzung aus 'Zeit' + 'Prüfung'
ZeitReise,Substantiv,f,die,ZeitReisen,,,,,Zusammensetzung aus 'Zeit' + 'Reise'
ZeitHafen,Substantiv,m,der,ZeitHäfen,,,,,Zusammensetzung aus 'Zeit' + 'Hafen'
ZeitBahnhof,Substantiv,m,der,ZeitBahnhöfe,,,,,Zusammensetzung aus 'Zeit' + 'Bahnhof'
ZeitFlughafen,Substantiv,m,der,ZeitFlughäfen,,,,,Zusammensetzung aus 'Zeit' + 'Flughafen'
ZeitKarte,Substantiv,f,die,ZeitKarten,,,,,Zusammensetzung aus 'Zeit' + 'Karte'
ZeitPreis,Substantiv,m,der,ZeitPreise,,,,,Zusammensetzung aus 'Zeit' + 'Preis'
ZeitPark,Substantiv,m,der,ZeitParks,,,,,Zusammensetzung aus 'Zeit' + 'Park'
ZeitPlatz,Substantiv,m,der,ZeitPlätze,,,,,Zusammensetzung aus 'Zeit' + 'Platz'
ZeitStraße,Substantiv,f,die,ZeitStraßen,,,,,Zusammensetzung aus 'Zeit' + 'Straße'
ZeitBrücke,Substantiv,f,die,ZeitBrücken,,,,,Zusammensetzung aus 'Zeit' + 'Brücke'
ZeitTunnel,Substantiv,m,der,ZeitTunnel,,,,,Zusammensetzung aus 'Zeit' + 'Tunnel'
ZeitZentrum,Substantiv,n,das,ZeitZentren,,,,,Zusammensetzung aus 'Zeit' + 'Zentrum'
ZeitHaus,Substantiv,n,das,ZeitHäuser,,,,,Zusammensetzung aus 'Zeit' + 'Haus'
ZeitWerk,Substantiv,n,das,ZeitWerke,,,,,Zusammensetzung aus 'Zeit' + 'Werk'
ZeitTicket,Substantiv,n,das,ZeitTickets,,,,,Zusammensetzung aus 'Zeit' + 'Ticket'
ZeitStation,Substantiv,f,die,ZeitStationen,,,,,Zusammensetzung aus 'Zeit' + 'Station'
ZeitLeitung,Substantiv,f,die,ZeitLeitungen,,,,,Zusammensetzung aus 'Zeit' + 'Leitung'
ZeitLeiter,Substantiv,m,der,ZeitLeiter,,,,,Zusammensetzung aus 'Zeit' + 'Leiter'
ZeitLeuchte,Substantiv,f,die,ZeitLeuchten,,,,,Zusammensetzung aus 'Zeit' + 'Leuchte'
ZeitSchalter,Substantiv,m,der,ZeitSchalter,,,,,Zusammensetzung aus 'Zeit' + 'Schalter'
ZeitSensor,Substantiv,m,der,ZeitSensoren,,,,,Zusammensetzung aus 'Zeit' + 'Sensor'
ZeitAktuator,Substantiv,m,der,ZeitAktuatoren,,,,,Zusammensetzung aus 'Zeit' + 'Aktuator'
TagesTür,Substantiv,f,die,TagesTüren,,,,,Zusammensetzung aus 'Tages' + 'Tür'
TagesDach,Substantiv,n,das,TagesDächer,,,,,Zusammensetzung aus 'Tages' + 'Dach'
TagesWand,Substantiv,f,die,TagesWände,,,,,Zusammensetzung aus 'Tages' + 'Wand'
TagesFenster,Substantiv,n,das,TagesFenster,,,,,Zusammensetzung aus 'Tages' + 'Fenster'
TagesBoden,Substantiv,m,der,TagesBöden,,,,,Zusammensetzung aus 'Tages' + 'Boden'
TagesPlan,Substantiv,m,der,TagesPläne,,,,,Zusammensetzung aus 'Tages' + 'Plan'
TagesListe,Substantiv,f,die,TagesListen,,,,,Zusammensetzung aus 'Tages' + 'Liste'
TagesBuch,Substantiv,n,das,TagesBücher,,,,,Zusammensetzung aus 'Tages' + 'Buch'
TagesSeite,Substantiv,f,die,TagesSeiten,,,,,Zusammensetzung aus 'Tages' + 'Seite'
TagesNummer,Substantiv,f,die,TagesNummern,,,,,Zusammensetzung aus 'Tages' + 'Nummer'
TagesFehler,Substantiv,m,der,TagesFehler,,,,,Zusammensetzung aus 'Tages' + 'Fehler'
TagesServer,Substantiv,m,der,TagesServer,,,,,Zusammensetzung aus 'Tages' + 'Server'
TagesClient,Substantiv,m,der,TagesClients,,,,,Zusammensetzung aus 'Tages' + 'Client'
TagesVertrag,Substantiv,m,der,TagesVerträge,,,,,Zusammensetzung aus 'Tages' + 'Vertrag'
TagesGesetz,Substantiv,n,das,TagesGesetze,,,,,Zusammensetzung aus 'Tages' + 'Gesetz'
TagesPrüfung,Substantiv,f,die,TagesPrüfungen,,,,,Zusammensetzung aus 'Tages' + 'Prüfung'
TagesReise,Substantiv,f,die,TagesReisen,,,,,Zusammensetzung aus 'Tages' + 'Reise'
TagesHafen,Substantiv,m,der,TagesHäfen,,,,,Zusammensetzung aus 'Tages' + 'Hafen'
TagesBahnhof,Substantiv,m,der,TagesBahnhöfe,,,,,Zusammensetzung aus 'Tages' + 'Bahnhof'
TagesFlughafen,Substantiv,m,der,TagesFlughäfen,,,,,Zusammensetzung aus 'Tages' + 'Flughafen'
TagesKarte,Substantiv,f,die,TagesKarten,,,,,Zusammensetzung aus 'Tages' + 'Karte'
TagesPreis,Substantiv,m,der,TagesPreise,,,,,Zusammensetzung aus 'Tages' + 'Preis'
TagesPark,Substantiv,m,der,TagesParks,,,,,Zusammensetzung aus 'Tages' + 'Park'
TagesPlatz,Substantiv,m,der,TagesPlätze,,,,,Zusammensetzung aus 'Tages' + 'Platz'
TagesStraße,Substantiv,f,die,TagesStraßen,,,,,Zusammensetzung aus 'Tages' + 'Straße'
TagesBrücke,Substantiv,f,die,TagesBrücken,,,,,Zusammensetzung aus 'Tages' + 'Brücke'
TagesTunnel,Substantiv,m,der,TagesTunnel,,,,,Zusammensetzung aus 'Tages' + 'Tunnel'
TagesZentrum,Substantiv,n,das,TagesZentren,,,,,Zusammensetzung aus 'Tages' + 'Zentrum'
TagesHaus,Substantiv,n,das,TagesHäuser,,,,,Zusammensetzung aus 'Tages' + 'Haus'
TagesWerk,Substantiv,n,das,TagesWerke,,,,,Zusammensetzung aus 'Tages' + 'Werk'
TagesTicket,Substantiv,n,das,TagesTickets,,,,,Zusammensetzung aus 'Tages' + 'Ticket'
TagesStation,Substantiv,f,die,TagesStationen,,,,,Zusammensetzung aus 'Tages' + 'Station'
TagesLeitung,Substantiv,f,die,TagesLeitungen,,,,,Zusammensetzung aus 'Tages' + 'Leitung'
TagesLeiter,Substantiv,m,der,TagesLeiter,,,,,Zusammensetzung aus 'Tages' + 'Leiter'
TagesLeuchte,Substantiv,f,die,TagesLeuchten,,,,,Zusammensetzung aus 'Tages' + 'Leuchte'
TagesSchalter,Substantiv,m,der,TagesSchalter,,,,,Zusammensetzung aus 'Tages' + 'Schalter'
TagesSensor,Substantiv,m,der,TagesSensoren,,,,,Zusammensetzung aus 'Tages' + 'Sensor'
TagesAktuator,Substantiv,m,der,TagesAktuatoren,,,,,Zusammensetzung aus 'Tages' + 'Aktuator'
NachtTür,Substantiv,f,die,NachtTüren,,,,,Zusammensetzung aus 'Nacht' + 'Tür'
NachtDach,Substantiv,n,das,NachtDächer,,,,,Zusammensetzung aus 'Nacht' + 'Dach'
NachtWand,Substantiv,f,die,NachtWände,,,,,Zusammensetzung aus 'Nacht' + 'Wand'
NachtFenster,Substantiv,n,das,NachtFenster,,,,,Zusammensetzung aus 'Nacht' + 'Fenster'
NachtBoden,Substantiv,m,der,NachtBöden,,,,,Zusammensetzung aus 'Nacht' + 'Boden'
NachtPlan,Substantiv,m,der,NachtPläne,,,,,Zusammensetzung aus 'Nacht' + 'Plan'
NachtListe,Substantiv,f,die,NachtListen,,,,,Zusammensetzung aus 'Nacht' + 'Liste'
NachtBuch,Substantiv,n,das,NachtBücher,,,,,Zusammensetzung aus 'Nacht' + 'Buch'
NachtSeite,Substantiv,f,die,NachtSeiten,,,,,Zusammensetzung aus 'Nacht' + 'Seite'
NachtNummer,Substantiv,f,die,NachtNummern,,,,,Zusammensetzung aus 'Nacht' + 'Nummer'
NachtFehler,Substantiv,m,der,NachtFehler,,,,,Zusammensetzung aus 'Nacht' + 'Fehler'
NachtServer,Substantiv,m,der,NachtServer,,,,,Zusammensetzung aus 'Nacht' + 'Server'
NachtClient,Substantiv,m,der,NachtClients,,,,,Zusammensetzung aus 'Nacht' + 'Client'
NachtVertrag,Substantiv,m,der,NachtVerträge,,,,,Zusammensetzung aus 'Nacht' + 'Vertrag'
NachtGesetz,Substantiv,n,das,NachtGesetze,,,,,Zusammensetzung aus 'Nacht' + 'Gesetz'
NachtPrüfung,Substantiv,f,die,NachtPrüfungen,,,,,Zusammensetzung aus 'Nacht' + 'Prüfung'
NachtReise,Substantiv,f,die,NachtReisen,,,,,Zusammensetzung aus 'Nacht' + 'Reise'
NachtHafen,Substantiv,m,der,NachtHäfen,,,,,Zusammensetzung aus 'Nacht' + 'Hafen'
NachtBahnhof,Substantiv,m,der,NachtBahnhöfe,,,,,Zusammensetzung aus 'Nacht' + 'Bahnhof'
NachtFlughafen,Substantiv,m,der,NachtFlughäfen,,,,,Zusammensetzung aus 'Nacht' + 'Flughafen'
NachtKarte,Substantiv,f,die,NachtKarten,,,,,Zusammensetzung aus 'Nacht' + 'Karte'
NachtPreis,Substantiv,m,der,NachtPreise,,,,,Zusammensetzung aus 'Nacht' + 'Preis'
NachtPark,Substantiv,m,der,NachtParks,,,,,Zusammensetzung aus 'Nacht' + 'Park'
NachtPlatz,Substantiv,m,der,NachtPlätze,,,,,Zusammensetzung aus 'Nacht' + 'Platz'
NachtStraße,Substantiv,f,die,NachtStraßen,,,,,Zusammensetzung aus 'Nacht' + 'Straße'
NachtBrücke,Substantiv,f,die,NachtBrücken,,,,,Zusammensetzung aus 'Nacht' + 'Brücke'
NachtTunnel,Substantiv,m,der,NachtTunnel,,,,,Zusammensetzung aus 'Nacht' + 'Tunnel'
NachtZentrum,Substantiv,n,das,NachtZentren,,,,,Zusammensetzung aus 'Nacht' + 'Zentrum'
NachtHaus,Substantiv,n,das,NachtHäuser,,,,,Zusammensetzung aus 'Nacht' + 'Haus'
NachtWerk,Substantiv,n,das,NachtWerke,,,,,Zusammensetzung aus 'Nacht' + 'Werk'
